HREF,ID,BRAND,NAME,OLD_PRICE,NEW_PRICE,DESC,DATE_SCRAPED,FAILMSG
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=3270&zenid=jpsdee79e5g2lq3cufjn5gndv1,3270,SKII,Facial Treatment Essence (10ml),S$13.20,S$12.00,"
									


									


																		With More than 90% Pitera , a unique ingredient enriched  with essential vitamins, minerals and amino acids that closely match  your skin, SK-II Facial Treatment Essence is necessary for radiant  healthy-looking skin. Women all over the world affectionately call it  their ""Miracle Water"" for bringing back their skin to its optimum  condition in only 28 days*.



* 88% of women experienced a noticeable difference in their  skin after using SK-II Facial Treatment Essence for 28 days. (Galaxy  Research - May 2007)





HOW TO USE


Use twice daily,  morning and night. After cleansing, gently pat face and neck using a  cotton pad soaked with Facial Treatment Essence. You can even use it on  the eye area.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=3611&zenid=jpsdee79e5g2lq3cufjn5gndv1,3611,KOSE,Sekkisei Emulsion (20ml),S$11.70,S$7.50,"
									


									


																		

Heavyweight serum has high emollient effect to skin without any sticky  end-feel. Stays deeply in horny layer to help skin look elastic and  white.




Five different kinds of botanic extracts incorporated such as Inula  Japonica Thunb, Coix Seed, Mountain Bark, Melothria and Angelica to  help skin appear translucent.




Moisture Balance Polymer keeps the best moist balance, regardless of  the seasons and skin types. Comfortable and fresh end-feel lasts long.




Inhibits melanin production and prevents not only dark spots or freckles caused by sun but also dryness or irritation. 




For the synergetic effect, try Medicated Sekkisei Lotion and Medicated Sekkisei Cream as well.




HOW TO USE:


Apply under lotion (Medicated Sekkisei Lotion)


Pump a few times to get right dosage (over 1 ml), and go over to skin. 


For dry skin, apply more.

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_157_158&products_id=1007&zenid=jpsdee79e5g2lq3cufjn5gndv1,1007,CLINIQUE,All About Eyes (7ml),S$28.00,S$12.00,"
									


									


																		

57% SAVING

Retail Price: S$ 28.00 (7ml)

Lightweight eye cream diminishes the appearance of eye puffs, darkness and fine lines. Non-creep, cream/gel formula actually helps hold eye makeup in place. For use morning and night, both under eyes and on lids. Ophthalmologist Tested.    * Skin Types: All

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_153_154&products_id=40319&zenid=jpsdee79e5g2lq3cufjn5gndv1,40319,SKII,Facial Treatment Repair C (Sachet) (2ml),S$11.00,S$2.20,"
									


									


																		

A nutrient-rich serum with a mix of concentrated Pitera™ and Hyaluronic acid, it reduces the appearance of 

wrinkles

 and roughness to refine 

skin texture

 and elasticity. Skin is deeply moisturized for 24 hours, and you experience the same luxurious feeling as if wearing a 

treatment mask

 all day.





  

Texture:


  

A small amount of this gel-type serum spreads evenly onto the face.




																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=6892&zenid=jpsdee79e5g2lq3cufjn5gndv1,6892,LANCOME,Galateis Douceur Gentle Softening Cleansing Fluid Face&Eyes (50ml),S$9.00,S$5.80,"
									


									


																		

Rediscover purity. Your skin breathes, naturally beautiful. Wipe off.A water-light lotion for fast, thorough cleansing that removes even the most stubborn makeup. Foundation, blush, mascara and lipstick all dissolve and disappear on contact! Leaves skin feeling clean and fresh, soft and supple. It’s extremely gentle formula can even be used to remove eye makeup.

This quick and easy cleanser is formulated to be gentle, yet effective, to safely wipe away makeup, pollution and stress in a single step. To enhance its cleansing and clarifying action, the Lancome Laboratories have formulated GALATEIS CLARTE with highly effective, natural active ingredients to help exfoliate the skin, while preserving its youthful radiance: Papaya, known for its hydrating properties, helps to moisturize and soften the skin, while Pineapple, know for its anti-inflammatory and healing properties, helps to calm and soothe.

  

Skin Types:

  Normal to combination skin. All skin types, even sensitive.




Bundle set :

  50ml x 4pcs = 200ml

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=39413&zenid=jpsdee79e5g2lq3cufjn5gndv1,39413,SKII,R.N.A Power Radical New Age (15g),S$35.10,S$27.00,"
									


									


																		

23% SAVING

Retail Price: S$ 35.10 (15g)

R.N.A. Power Cream is powered by SK-II’s unique new Pitera™ x Radical New Age Complex, which works to activate firmness from every angle: lengthwise firmness results in an improved appearance of wrinkles and visible lines, while crosswise firmness results in less visible pores.

 

R.N.A. Power Cream is a moisturizing cream that gives skin firmness from every angle, making it firmer, smoother, tighter, and more radiant with continuous use.

 

After 10 days: Noticeable improvement in multiple signs of aging, including increased hydration and firmness, smoother texture, better elasticity, and improvements in dullness and the appearance of wrinkles

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_161_162&products_id=2255&zenid=jpsdee79e5g2lq3cufjn5gndv1,2255,SKII,Skin Signature 3D Redefining Mask (1pc),S$32.00,S$14.00,"
									


									


																		

56% SAVING

Retail Price: S$ 32.00 (1pc)





This mask by SK-II leads to a noticeably lifted and contoured look and with a new 3D stretch design it has been created to closely fit the face to activate key facial points with an immediate appearance lifting effect. In the moment of mask removal you can feel the difference, with continuous use of 2 masks per week, it leads to visibly firmer and smoother skin with radiance from within skin's surface.






APPLICATION GUIDE


Place upper mask on forehead and lower mask on chin. Stretch to side of ear area. Press firmly by spreading under eyes. Gently pad the entire face with palm. Leave for 5-10 minutes.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_161_162&products_id=2247&zenid=jpsdee79e5g2lq3cufjn5gndv1,2247,SKII,Whitening Source Derm Revival Mask (1pc),S$25.00,S$14.00,"
									


									


																		

44% SAVING

Retail Price: S$ 25.00 (1pc)

Whitening Source Derm-Revival Mask contains DMT Blocker, an advanced complex containing Pitera®, Vitamin C derivative and Niacinamide; Inositol, a skin conditioning agent. SK-II's unique stretchable mask is designed to hold the maximum amount of juice and to deliver it effectively to the skin. The action of stretching the mask activates its multiple layers, creating a delivery system that continuously drives the juice deep into the epidermis. The pressure of the mask against the skin also helps to enhance delivery of the
whitening actives.


HOW TO USE


Place the top portion of the mask on the forehead so that it completely covers the forehead area and fits closely around the contours of your brow bone. Place the bottom portion of the mask on the chin and stretch it to just in front of the ear area. For a better fit, spread the mask under the eye area and pull it up at the slits of the mask. Gently pat the entire face with the palm of your hands. Leave it for 10 to 15 minutes before removing it gently. 

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=32049,32049,LANEIGE,Water Bank Gel Cream_EX  (10ml),S$10.40,S$6.00,"
									


									


																		Refreshing gel-type moisture cream that cools the skin and keeps the skin free from sticky oil-shine.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=5899&zenid=jpsdee79e5g2lq3cufjn5gndv1,5899,KOSE,Sekkisei Lotion (24ml),S$10.00,S$9.00,"
									


									


																		

10% SAVING

Retail Price: S$ 10.00 (24ml)



A mild, refreshing tonic that penetrates instantly to get rid of  dullness and promotes an even, refined skin tone. The herbal extracts  provide brightening, anti-inflammatory, refining, and moisturizing  benefits.


  


  Use as a toner morning and evening after cleansing.  Generously soak a cotton pad and pat gently over face.  For increased effectiveness use with Lotion Mask, 1-2 times a week 


  


Herbal Extracts: Coix Seed Extract, Angelica Extract, Melothria Extract, Licorice Extract.
																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=16786&zenid=jpsdee79e5g2lq3cufjn5gndv1,16786,SKII,Cellumination Deep Surge EX (15g),S$62.10,S$27.00,"
									


									


																		

4% SAVING

Retail Price: S$ 62.10 (15g)

This daily moisturiser is infused with a unique active whitening   ingredient, De-Melano P3C, that works to balance your skin tone from   within to unleash your skin’s translucent aura.





How to use :


After washing your face, condition your skin with Facial Treatment   Essence and Cellumination Essence. Then place pearl-sized amount of   Cellumination Deep Surge on the forehead, cheeks and chin, spreading it   evenly over the entire face.


																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_169_281&products_id=4091,4091,CLINIQUE,Long Last Lipstick # Blushing Nude (3.8g),S$31.35,S$6.50,"
									


									


																		

79% SAVING

Retail Price: S$ 31.35 (1pc)


CLINIQUE LIPSTICK(Sample)


Longest-wearing, soft shine formula. Keeps its just-applied look for hours. Won't feather, creep, stain or dry out.





    * Coverage: Moderate


																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_153_154&products_id=21489,21489,LANEIGE,White Plus Renew Original Essence (10ml),S$25.00,S$7.00,"
									


									


																		LANEIGE White Plus Renew Essence contains White plus renew Complex that discourages the production of melanin, effectively recover whitening function. Hence brightens the skin tone with moisture, leaving you transparently luminous complexion.



It regulates moisture balance and delivers a more clarified look with Satsuma peel extracts while marshmallow extracts provides skin nutrients and enhance skin flexibility.



LANEIGE White Plus Renew Essence also penetrates rapidly into skin, sensation of smoothness with the snow-melting coolness and freshness after application.




How to use it:


Apply during morning and evening.


Pump two times and lightly apply it to cheek, forehead, nose, lip area and neck.


Lightly press the palms down onto the face for better absorption. 																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=16003,16003,CHRISTIAN DIOR,Diorsnow White Reveal Moisturizing Lotion 2 Rich (50ml),S$20.50,S$7.00,"
									


									


																		




Diorsnow White Reveal Moisturizing Lotion 2 Rich



With Icelandic Glacial Water.


These lotions cleanse and rebalance the  leaving it perfectly moisturized, supple and in ideal condition for Diorsnow’s active ingredients.



Fresh for normal to combination skin


Rich for dry skin



The entire Diorsnow range has been tested for Asian skin by dermatologists 																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=25114,25114,BIOTHERM,Aquasource 48H Deep Hydration Replenishing Gel For Normal- Combination Skin (Without Box) (15ml),S$20.70,S$12.00,"
									


									


																		Fifty years ago in the mountains of France, a biologist discovered a unique element in the mineral-rich thermal spring waters that soothes, balances and rejuvenates the skin, so it looks and feels healthier.
Today, this purified and patented ingredient-Vitreoscilla Ferment-is the scientific key to the effectiveness of Biotherm's products. It enables each formula-skin and body care, color and men's treatments-to work in sync with skin's own nature, bringing it back to its optimal state so it can better resist stress and damage.




Biotherm AQUASOURCE 24h Deep Hydration Replenishing Gel contains   Mannose, an innovative ingredient that goes 5 layers deep for skin   hydration. 


  - It rapidly has intense hydrating virtue. Each container contains as   much ingredients as those contained in 5,000 litres of Thermal Plankton   Cellular Water. 




How to use




Use every morning and / or evening on cleansed and toned skin.


Place one dose into the palm of the hand.


Using both hands, smooth over the face in an outward pattern starting from the centre. Finish by the neck. Avoid eye contour. 


																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=24138,24138,CLINIQUE,Dramatically Different Moisturizing Lotion+ (tube) - Very Dry to Dry Combination (30ml),S$16.80,S$9.00,"
									


									


																		

0% SAVING

Retail Price: S$ 16.80 (30ml)

NEW Dramatically Different Moisturizing Lotion + 




The big plus: Our new formula now helps strengthen skin's own moisture barrier. More moisture stays in. Skin feels soft, springy. Has a healthy-looking glow.


 Step 3 in Clinique's 3-Step Skin Care System. The moisture ""drink"" developed by Clinique's dermatologists to maintain optimal moisture balance for very dry skins, or skins dry in the cheeks, comfortable to oily in the T-zone. Softens, smooths, improves. 





How to use


• Apply twice a day to face and throat all over, or where needed.


• For best results use after Facial Soap and Clarifying Lotion.

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=18747,18747,SKII,Stempower Rich Cream (15g),S$62.70,S$26.00,"
									


									


																		

0% SAVING

Retail Price: S$ 62.70 (15g)





Stempower Rich Cream

 Moisturiser

 

Formulated with the revolutionary Stem-Acanax Complex that penetrates deep to improve skin from within. Moisturises skin immediately. Reduces severe signs of ageing. Facial contours become visibly tightened in 2 weeks. So you can feel the youthful beauty of 10 years ago.

 

Benefits :

 Texture Refinement, Firmness Power, Wrinkle Resilience

 

How to use :

 After applying clear lotion and essence, take an appropriate amount of cream (diameter 1cm) with spatula onto palm. Dot on forehead, cheeks and chin and gently spread all over the face.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=10288,10288,LANCOME,Blanc Expert Nuit Firmness Restoring Whitening Night Cream (15ml),S$46.50,S$20.00,"
									


									


																		

With age as collagen production slows down, skin looses its firmness. Night is the optimal moment to accelerate collagen renewal to recover skin's firmness.
Lancome laboratories re-invent the Blanc Expert Whitening Night Cream for an intense whitening and firming performance.




To boost collagen renewal:


  The whiterefirm technology, containing shiitake extract, helps create new bright collagen fibers* to enhance skin's firmness.


  


  To reduce melanin production and help eliminate it through the association of a gentle exfoliating agent and whitening active ingredients.
  Skin looks regenerated, touchably bouncier and visibly fairer. 
  Night after night, brown spots are visibly reduced. Skin glow with replumped fairness.


  *In vitro test





How to use :


Apply this night cream daily in the evening. 







Suitable for


all skin type 







Bundle set :

 15ml x 3pcs = 45ml

 																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=15284,15284,BIOTHERM,Aquasource Instant Hydration Toning Lotion (30ml),S$7.00,S$4.00,"
									


									


																		Fifty years ago in the mountains of France, a biologist discovered a unique element in the mineral-rich thermal spring waters that soothes, balances and rejuvenates the skin, so it looks and feels healthier.
Today, this purified and patented ingredient-Vitreoscilla Ferment-is the scientific key to the effectiveness of Biotherm's products. It enables each formula-skin and body care, color and men's treatments-to work in sync with skin's own nature, bringing it back to its optimal state so it can better resist stress and damage.


Step 2 of BIOTHERM’S daily hydra-mineral moisturizing ritual, this   rich, active water is specially designed for normal to combination skin.   This radiance-activating lotion balances and moisturizes the skin by   replenishing nutrients lost due to cleansing with water. 


    


    TEXTURE:


  A soft toning water with refreshingly clean scent. The light formula   immerse the skin in a delectable bath of revitalizing, moisturizing   mineral freshness for an authentic sensory experience.

RESULTS:


Skin instantly feels supple and toned, and is well-prepared to receive the full benefits of the next step.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=249_284&products_id=5441,5441,LAB SERIES,Multi-Action Face Wash (100ml),S$41.00,S$30.00,"
									


									


																		

27% SAVING

Retail Price: S$ 41.00 (100ml)




WHO IS IT FOR:


Formulated for normal and dry skin types.






HOW DOES IT WORK:


Unique multi-action foaming cream cleanses, exfoliates and conditions the skin.  


Effective lathering system dissolves excess oil and unclogs pores.  


Purifying beads remove dead skin cells and impurities, minimizing ashiness.  


Vitamin enriched formula nourishes and re-conditions the skin, prepping it for a close shave. 
                                               





HOW/WHEN TO USE:


Massage into damp face and neck, then rinse with warm water and pat dry.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=10449,10449,LANEIGE,White Plus Renew Emulsion (15ml),S$6.75,S$5.50,"
									


									


																		

Product Benefits


A non-sticky emulsion that softens skin for better absorption of your remaining skincare. White Plus Renew Complex™ and Watermelon Extract helps replenish skin's moisture levels and prevent skin dullness.



Laneige's patented White Plus Renew Complex™ includes:



    * Manassantin B™ that effectively prevents Melanin formation,


    * -PGA which has far more effective moisture retention power than Hyaluronic Acid, and


    * Himalaya Glacial Water which contains 6 essential ionized minerals that penetrate deep into the skin for accelerated skin cell renewal.

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_161_163&products_id=23857,23857,KOSE,Sekkisei Clear Whitening Mask (76ml),S$35.00,S$25.00,"
									


									


																		




KOSÉ’s bestselling SEIKISHO Mask White now debuts from the SEKKISEI line with an improved formula boasting Red Oolong Tea extract (tightens pores), and Chinese Quince extract (sebum control) to better tackle visible pores, and create translucent skin.


Compounded with nano-sized black powder that readily disperses across the surface of the skin. The formula spreads as if being absorbed into the skin, giving it a comfortable firmness and a healthy appearance.


The gentle scent brings relief to tired minds, awakening translucency from within.


* 96% ladies said their face felt silky smooth after using it just once!  (2013 Survey of 26 Taiwanese ladies) 






How to use:


Take approximately 2 cm of the product onto your finger at a time, spreading it across your face while avoiding the area around the eyes, eyebrows, hairline, and lips. Once dry, peel it off inwards from the outer areas of your face. 
																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=23657,23657,ESTEE LAUDER,Take It Away Makeup Remover Lotion (30ml),S$9.60,S$5.80,"
									


									


																		For long-wear and waterproof makeup removal.


To use:Apply to dry skin,rinse or tissue off.


Dermatologist- and ophthalmologist-tested.

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=21195,21195,CHRISTIAN DIOR,Diorsnow Fresh Creme Global Transparency (15ml),S$42.00,S$12.00,"
									


									


																		

0% SAVING

Retail Price: S$ 42.00 (15ml)




Diorsnow Fresh Creme Global Transparency



This light and ultra-fresh cream offers 24-hour hydration and spectacular plumping action. Steeped in moisture and intensely plumped, the skin glows with a pure and natural radiance. For maximum effectiveness, apply in the morning after D-NA Control White Reveal Day Essence.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=30126,30126,LANCOME,Tonique Confort Re-Hydrating Comforting Toner For Dry Skin  (50ml),S$13.00,S$7.00,"
									


									


																		

What it is:


A silky-soft moisturizing formula that gently tones and immediately rehydrates the complexion. 







What it is formulated to do:


Instantly soothing, this hydrating toner with honey and almond seed extract creates perfectly clean, soft, and comforted skin. 







What else you need to know:


This product has been dermatologist tested.

  


Bundle set :

  50ml x 4pcs = 200ml




Regular size :

200ml

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_169_265&products_id=37816,37816,LANCOME,UV Expert XL-Shield Fresh UV Aqua Gel SPF50-PA++++  (10ml),S$26.70,S$9.80,"
									


									


																		

LANCOME







12H Active Beauty Shield SPF50 PA+++






To matify and refresh. During the summer, the skin is not only exposed to harmful UV rays, it also becomes dehydrated and more prone to shine because of the hear. LANCOME laboratories have integrated a filtering technology that helps protect up to long UVA rays whitle remaining a 12H UVB protection. To new XL-Shield™ technology has an anti-greyness action, and protects the skin tone and creates a wonderful rosy skin.




UV Expert XL-Shield™ gathers 100% of women's approval, they find skin look fairer, visibly younger and healthy, the skin tone seems natural. The product is  well appreciated for its anti-ageing properties and benefits for a beautiful skin, the wrinkles and fine line seem less visible, and the blemishes seem softed.




The texture of UV Expert XL-Shield™ is 100% approved by women, they find it comfortable, rich and protective.







																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_169_269&products_id=1710,1710,SKII,Facial Treatment Advanced Protect Loose Powder UV [REGULAR] (30g),S$97.00,S$68.00,"
									


									


																		

30% SAVING

Retail Price: S$ 97.00 (30g)





SPF18/PA++ A loose powder that perfects the finishing prepared by the Whitening Source Pancake by adding a translucent finish to the skin. 



Using the puff, take an appropriate amount and spread lightly and evenly over the whole face in outward and downward movements. Can be used alone for a more natural look or after Liquid Foundation/PancakeProvides a long-lasting, natural and smooth finishing effects through its Spots Clear Powder. 






 

Provides superior wearability because of its resistance to sebum, sweat and water.
 

Nourishes and moisturizes your skin with Pitera®, thus keeping your skin soft and dewy-moist.
 

Smoothens skin so make-up glides on easily and stays longer.


																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_153_154&products_id=12998,12998,LANEIGE,Perfect Renew Night Treatment (5ml),S$11.90,S$6.00,"
									


									


																		

Benefits


  An ampoule type, potent firming night essence.




How To Use


After using emulsion, use dropper on lid to release an appropriate amount and gently apply from center towards the contour. Lightly pat using fingertips for absorption * This is high-concentration essence designed to use at night time only.

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=17437,17437,LANCOME,Blanc Expert Ultimate Whitening Purifying Foam [BLUE]  (50ml),S$25.20,S$12.00,"
									


									


																		
The first step in the Blanc Expert Ultimate Whitening line, this foamy facial wash lathers quickly to wash off the melanin packed dead skin cells for brighter looking skin.



Formulated with licorice, morus and scutellaria, natural plant extracts with skin whitening qualities, Purifying Foam restores the skin's original transparency and reduces the appearance of dark spots for a more even toned complexion.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_157_158&products_id=44386,44386,SKII,R.N.A.Power Eye Cream Radical New Age (2.5g),S$24.80,S$12.00,"
									


									


																		

 




Combining the power of Radical New Age Complex*¹ and concentrated PITERA™


  with the strength of Palmitoyl Pentapeptide-4 and Chlolleragen*², this unique eye


  cream gives you firmness around the eyes, and at the same time, enhances skin


  surface renewal.


  


  R.N.A.Power Eye Cream has a light creamy texture that’s easily absorbed by skin, 


  filling it with moisture. It also has a light fragrance that will help relax you


  as you care for your skin.

																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_157_158&products_id=3317,3317,CLINIQUE,All About Eyes (7ml x 2pcs = 14ml),S$62.00,S$23.50,"
									


									


																		

62% SAVING

Retail Price: S$ 62.00 (14ml)

Lightweight eye cream diminishes the appearance of eye puffs, darkness and fine lines. Non-creep, cream/gel formula actually helps hold eye makeup in place. For use morning and night, both under eyes and on lids. Ophthalmologist Tested.




 

Skin Types:

 


All

																		


								",'2017-05-23,
,,,,,,,,
